Lambda,Ridge Regularization,,,,,,,
,Training,,,,Testing,,,
,RSS,MSE,RMSE,R^2,RSS,MSE,RMSE,R^2
0.001,1823.522742,4.68771913,2.165114115,39.72059548,1401.816052,5.3916002,2.165114115,38.59510414
0.01,1823.522742,4.687719131,2.165114115,39.72059546,1401.816053,5.391600202,2.165114115,38.59510411
0.1,1823.52279,4.687719254,2.165114143,39.72059388,1401.816122,5.391600468,2.165114143,38.59510108
0.5,1823.523946,4.687722227,2.16511483,39.72055565,1401.817792,5.391606893,2.16511483,38.59502791
1,1823.527544,4.687731475,2.165116966,39.72043673,1401.822976,5.391626832,2.165116966,38.59480082
10,1823.973717,4.68887845,2.165381825,39.70568778,1402.448497,5.394032679,2.165381825,38.56740065
100,1851.09059,4.758587635,2.181418721,38.809297,1434.938605,5.518994633,2.181418721,37.14420986
,,,,,,,,
,,,,,,,,
Lambda,Lasso Regularization,,,,,,,
,Training,,,,Testing,,,
,RSS,MSE,RMSE,R^2,RSS,MSE,RMSE,R^2
0.001,1823.533049,4.687745627,2.165120234,39.72025475,1401.821647,5.391621719,2.165120234,38.59485905
0.01,1824.556792,4.690377357,2.165727905,39.68641332,1402.377168,5.393758337,2.165727905,38.57052513
0.1,1893.566766,4.86778089,2.206304804,37.40518038,1447.53235,5.567432116,2.206304804,36.59255571
0.5,2379.806042,6.117753322,2.473409251,21.33177841,1769.253575,6.804821442,2.473409251,22.49993758
1,2924.8847,7.518983805,2.74207655,3.313348377,2154.949745,8.288268249,2.74207655,5.604972582
10,3025.117378,7.776651357,2.788664798,0,2282.906,8.780407692,2.788664798,0
100,3025.117378,7.776651357,2.788664798,0,2282.906,8.780407692,2.788664798,0
